"","egg_volume","hatchling_weight","group_ID","mother_ID"
"151",3961.5271668,4.07,"TOPI","4H-39195"
"152",3087.72918,3.34,"TOPI","4H-39195"
"153",3178.99111932,3.33,"TOPI","4H-39195"
"154",3599.90482676625,3.44,"TOPI","4H-39195"
"155",3289.7696832,2.83,"TOPI","4H-39195"
"156",3749.41398636,3.03,"TOPI","4H-39195"
"157",3698.9175234375,3.34,"UBEND","4H-39180"
"158",3441.09312,2.47,"UBEND","4H-39180"
"159",3782.13725736,4.17,"UBEND","4H-39180"
"160",3684.77568,3.91,"UBEND","4H-39180"
"161",3874.23432,3.42,"UBEND","4H-39180"
"162",3220.23413376,3.31,"UBEND","4H-48732"
"163",3484.292895,2.99,"UBEND","4H-48732"
"164",3454.25816736,3.8,"VANGA","4H-48760"
"165",3258.13612644,3.55,"VANGA","4H-48760"
"166",3601.02959568,4.06,"VANGA","4H-48760"
"167",2814.52555872,2.78,"VANGA","4H-48827"
"168",2994.44956704,2.64,"VANGA","4H-48827"
"169",3794.9472,3,"WEASEL","4H-48923"
"170",3901.12782228,4.11,"WEASEL","4H-48923"
"171",3816.8190144,3.67,"WEASEL","4H-48923"
"172",3676.76392968,3.18,"WEASEL","4H-48923"
"173",3849.77297988,2.95,"WEASEL","4H-48923"
"174",3631.3717824,2.75,"XMEN","4H-39158"
"175",3645.91181592,2.96,"XMEN","4H-39158"
"176",3705.64650792,2.92,"XMEN","4H-39158"
"177",3644.56750392,3.49,"XMEN","4H-39158"
"178",3631.3717824,3.26,"XMEN","4H-39158"
"179",3528.00155232,5.4,"XMEN","4H-39158"
"180",3704.70120780375,3.33,"YETI","4H-48728"
"181",3998.808,3.88,"YETI","4H-48728"
"182",3601.02959568,3.33,"YETI","4H-48728"
"183",3812.24657088,3.13,"YETI","4H-48728"
"184",3873.46323456,3.7,"YETI","4H-48728"
"185",3839.8464,3.77,"YETI","4H-48728"
"186",4092.18024506625,2.82,"YIPPEE","4H-39185"
"187",3849.8328,3.57,"YIPPEE","4H-39185"
"188",3530.6260668,2.98,"YIPPEE","4H-55224"
"189",3603.52239156,3.93,"YIPPEE","4H-55224"
"190",3487.1630472,3.28,"YIPPEE","4H-55224"
"191",2959.67577024,2.2,"ZEBRA","4H-48722"
"192",3007.51027056,3.33,"ZEBRA","4H-48722"
"193",3356.46856512,2.36,"ZEBRA","4H-48722"
