"","Season","Group","clutch_ID","clutch_size","laid_date","laid_date_error","mother_ID","egg_position","egg_weight_date","egg_weight","tarsus_med","wing_med","yd","egg_volume","Sept_day","female_helpers","male_helpers","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall","age_error","cent_volume","mean_volume","time_since_prev_ba","fate_prev_ba","female_helper_prev_ba","male_helper_prev_ba","Clutch_order"
"26","2011-12","AYEAYE","AY017",2,"26/02/2012",0,"4H-39163",2,"26/02/2012",2.9,25.2,102,57,3056.74433064,178,2,1,0.161290322580645,1.83870967741935,-0.483870967741935,1.48387096774194,0,2.5,3235,-130.463256646451,3187.20758728645,59,NA,3,1,5
"27","2013-14","AYEAYE","AY022",2,"27/02/2014",0,"4H-39163",2,"27/02/2014",3.14,25.2,102,58,3230.96331312,179,3,2,1.16129032258065,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,43.7557258335482,3187.20758728645,62,"SUCCESS",1,2,3
"28","2014-15","AYEAYE","AY025",2,"19/11/2014",0,"4H-39163",2,"19/11/2014",3.12,25.2,102,323,3297.15004248,79,2,2,0.161290322580645,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,109.942455193549,3187.20758728645,80,"REARING",NA,NA,2
"29","2012-13","AYEAYE","AY019",3,"15/12/2012",0,"4H-39163",2,"15/12/2012",2.7,25.2,102,350,2804.09229,106,0,0,-1.83870967741935,1.83870967741935,-1.48387096774194,1.48387096774194,0,0,3235,-383.115297286452,3187.20758728645,63,"REARING",1,0,2
"30","2011-12","AYEAYE","AY014",3,"29/12/2011",0,"4H-39163",2,"29/12/2011",3.03,25.2,102,363,3213.59025672,119,3,1,1.16129032258065,1.83870967741935,-0.483870967741935,1.48387096774194,2,0,3235,26.3826694335489,3187.20758728645,372,NA,4,2,2
"31","2012-13","AYEAYE","AY019",3,"16/12/2012",0,"4H-39163",3,"16/12/2012",2.84,25.2,102,351,2960.79271488,107,0,0,-1.83870967741935,1.83870967741935,-1.48387096774194,1.48387096774194,0,0,3235,-226.414872406451,3187.20758728645,63,"REARING",1,0,2
"32","2013-14","AYEAYE","AY021",3,"29/12/2013",0,"4H-39163",3,"29/12/2013",2.92,25.2,102,363,3067.843545,119,1,2,-0.838709677419355,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,-119.364042286451,3187.20758728645,99,"SUCCESS",1,1,2
"33","2011-12","AYEAYE","AY014",3,"30/12/2011",0,"4H-39163",3,"07/01/2012",2.9,25.2,102,364,3230.96331312,120,3,1,1.16129032258065,1.83870967741935,-0.483870967741935,1.48387096774194,2,0,3235,43.7557258335482,3187.20758728645,372,NA,4,2,2
"34","2010-11","AYEAYE","AY012",2,"22/12/2010",1,"4H-39163",NA,"23/12/2010",2.89,25.2,102,356,3067.843545,112,4,2,2.16129032258065,1.83870967741935,0.516129032258065,1.48387096774194,4,0,3235,-119.364042286451,3187.20758728645,283,"FIRST_CLUTH",2,3,1
"35","2010-11","AYEAYE","AY012",2,"22/12/2010",1,"4H-39163",NA,"23/12/2010",3.23,25.2,102,356,3426.32448,112,4,2,2.16129032258065,1.83870967741935,0.516129032258065,1.48387096774194,4,0,3235,239.116892713548,3187.20758728645,283,"FIRST_CLUTH",2,3,1
"36","2013-14","AYEAYE","AY021",3,"26/12/2013",3,"4H-39163",NA,"28/12/2013",2.96,25.2,102,360,3081.72519,116,1,2,-0.838709677419355,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,-105.482397286452,3187.20758728645,99,"SUCCESS",1,1,2
"37","2013-14","AYEAYE","AY021",3,"26/12/2013",3,"4H-39163",NA,"28/12/2013",2.96,25.2,102,360,3081.72519,116,1,2,-0.838709677419355,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,-105.482397286452,3187.20758728645,99,"SUCCESS",1,1,2
"38","2012-13","AYEAYE","AY018",2,"12/10/2012",1,"4H-39163",NA,"14/10/2012",NA,25.2,102,286,3480.0646248,42,1,0,-0.838709677419355,1.83870967741935,-1.48387096774194,1.48387096774194,0,0,3235,292.857037513549,3187.20758728645,230,"FIRST_CLUTH",2,1,NA
"39","2012-13","AYEAYE","AY018",2,"12/10/2012",1,"4H-39163",NA,"14/10/2012",NA,25.2,102,286,3528.36,42,1,0,-0.838709677419355,1.83870967741935,-1.48387096774194,1.48387096774194,0,0,3235,341.152412713549,3187.20758728645,230,"FIRST_CLUTH",2,1,NA
