"","mother_ID","group_ID","session_duration","maternal_n_feeds","maternal_prov_rate","clutch_ID","date","sex","rank","clutch_date","season","female_helpers","male_helpers","ba_day","brood_size","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall"
"68","4H-48772","GELADA",2.92527777777778,14,4.78587028772196,"GE030",2014-10-10,"F","DOMINANT","GE030_2014-10-10",2014,1,3,11,2,0.538461538461538,0.461538461538462,0.769230769230769,2.23076923076923,0,0
"69","4H-48772","GELADA",3.21666666666667,17,5.28497409326425,"GE031",2014-12-14,"F","DOMINANT","GE031_2014-12-14",2014,0,3,11,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,0
"70","4H-48772","GELADA",2.7,23,8.51851851851852,"GE031",2014-12-15,"F","DOMINANT","GE031_2014-12-15",2014,0,3,12,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,0
"71","4H-48772","GELADA",3.05833333333333,29,9.48228882833788,"GE033",2015-10-26,"F","DOMINANT","GE033_2015-10-26",2015,0,3,10,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,10.5
"72","4H-48772","GELADA",3.21472222222222,23,7.15458394539013,"GE033",2015-10-27,"F","DOMINANT","GE033_2015-10-27",2015,0,3,11,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,10.5
"73","4H-48772","GELADA",3.09138888888889,14,4.52870877886603,"GE033",2015-10-28,"F","DOMINANT","GE033_2015-10-28",2015,0,3,12,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,10.5
"74","4H-48772","GELADA",3.03055555555556,15,4.94958753437214,"GE034",2016-02-28,"F","DOMINANT","GE034_2016-02-28",2015,0,2,11,1,-0.461538461538462,0.461538461538462,-0.230769230769231,2.23076923076923,6,0
"75","4H-48920","GELADA",2.43333333333333,13,5.34246575342466,"GE003",2008-01-12,"F","DOMINANT","GE003_2008-01-12",2007,0,1,11,2,-1.7,1.7,-0.2,1.2,0,18
"76","4H-48920","GELADA",1.55,22,14.1935483870968,"GE003",2008-01-13,"F","DOMINANT","GE003_2008-01-13",2007,0,1,12,2,-1.7,1.7,-0.2,1.2,0,18
"77","4H-48920","GELADA",2.91027777777778,21,7.21580605135058,"GE009",2009-03-08,"F","DOMINANT","GE009_2009-03-08",2008,2,0,10,2,0.3,1.7,-1.2,1.2,6,22
"78","4H-48920","GELADA",3.07333333333333,16,5.2060737527115,"GE009",2009-03-09,"F","DOMINANT","GE009_2009-03-09",2008,2,0,11,2,0.3,1.7,-1.2,1.2,6,22
"79","4H-48920","GELADA",3.12111111111111,28,8.97116411534354,"GE009",2009-03-10,"F","DOMINANT","GE009_2009-03-10",2008,2,0,12,2,0.3,1.7,-1.2,1.2,6,22
"80","4H-48920","GELADA",3.07111111111111,23,7.48914616497829,"GE014",2010-02-28,"F","DOMINANT","GE014_2010-02-28",2009,3,3,10,2,1.3,1.7,1.8,1.2,2,8.5
"81","4H-39168","HYRAX",3.08333333333333,19,6.16216216216216,"HY002",2008-01-15,"F","DOMINANT","HY002_2008-01-15",2007,0,0,12,2,-1.4,1.4,-1.3,1.3,0,18
"82","4H-39168","HYRAX",1.56666666666667,10,6.38297872340426,"HY006",2008-12-25,"F","DOMINANT","HY006_2008-12-25",2008,2,1,10,1,0.6,1.4,-0.3,1.3,0,0
"83","4H-39168","HYRAX",3.01527777777778,17,5.63795485951175,"HY006",2008-12-26,"F","DOMINANT","HY006_2008-12-26",2008,2,1,11,1,0.6,1.4,-0.3,1.3,0,0
"84","4H-39168","HYRAX",3,15,5,"HY006",2008-12-27,"F","DOMINANT","HY006_2008-12-27",2008,2,1,12,1,0.6,1.4,-0.3,1.3,0,0
"85","4H-39168","HYRAX",2.94472222222222,10,3.39590604659938,"HY007",2009-03-06,"F","DOMINANT","HY007_2009-03-06",2008,2,2,10,1,0.6,1.4,0.7,1.3,5,22
"86","4H-39168","HYRAX",3.10555555555556,19,6.1180679785331,"HY007",2009-03-07,"F","DOMINANT","HY007_2009-03-07",2008,2,2,11,1,0.6,1.4,0.7,1.3,5,22
"87","4H-55183","HYRAX",2.99333333333333,24,8.01781737193764,"HY022",2014-12-13,"F","DOMINANT","HY022_2014-12-13",2014,1,4,10,2,0.666666666666667,0.333333333333333,2,2,0,0
"88","4H-55183","HYRAX",3.08333333333333,19,6.16216216216216,"HY022",2014-12-14,"F","DOMINANT","HY022_2014-12-14",2014,1,4,11,2,0.666666666666667,0.333333333333333,2,2,0,0
"89","4H-55183","HYRAX",2.58333333333333,20,7.74193548387097,"HY022",2014-12-15,"F","DOMINANT","HY022_2014-12-15",2014,1,4,12,2,0.666666666666667,0.333333333333333,2,2,0,0
"90","4H-48714","INDRI",2.90583333333333,14,4.81789503871523,"IN021",2014-10-15,"F","DOMINANT","IN021_2014-10-15",2014,3,2,10,2,0,3,0,2,0,0
"91","4H-48714","INDRI",3.03333333333333,4,1.31868131868132,"IN021",2014-10-17,"F","DOMINANT","IN021_2014-10-17",2014,3,2,12,2,0,3,0,2,0,0
"92","4H-48714","INDRI",3,19,6.33333333333333,"IN022",2015-01-16,"F","DOMINANT","IN022_2015-01-16",2014,3,2,10,1,0,3,0,2,0,0
"93","4H-48714","INDRI",3,15,5,"IN022",2015-01-17,"F","DOMINANT","IN022_2015-01-17",2014,3,2,11,1,0,3,0,2,0,0
"94","4H-48714","INDRI",3.00666666666667,11,3.65853658536585,"IN022",2015-01-18,"F","DOMINANT","IN022_2015-01-18",2014,3,2,12,1,0,3,0,2,0,0
"95","4H-48922","INDRI",1.55,9,5.80645161290323,"IN001",2007-12-07,"F","DOMINANT","IN001_2007-12-07",2007,0,0,10,2,0,0,0,0,0,0
"96","4H-48926","INDRI",3.03361111111111,16,5.27424228550499,"IN005",2009-03-02,"F","DOMINANT","IN005_2009-03-02",2008,0,1,10,2,0,0,-0.888888888888889,1.88888888888889,5,20
"97","4H-48926","INDRI",2.53916666666667,21,8.27042993107975,"IN005",2009-03-03,"F","DOMINANT","IN005_2009-03-03",2008,0,1,11,2,0,0,-0.888888888888889,1.88888888888889,5,20
"98","4H-48926","INDRI",3.08444444444444,18,5.835734870317,"IN007",2009-12-13,"F","DOMINANT","IN007_2009-12-13",2009,0,3,10,1,0,0,1.11111111111111,1.88888888888889,0,0
"99","4H-48926","INDRI",1.55,6,3.87096774193548,"IN007",2009-12-14,"F","DOMINANT","IN007_2009-12-14",2009,0,3,11,1,0,0,1.11111111111111,1.88888888888889,0,0
"100","4H-48926","INDRI",3.05444444444444,25,8.18479447071662,"IN008",2010-02-09,"F","DOMINANT","IN008_2010-02-09",2009,0,2,10,2,0,0,0.111111111111111,1.88888888888889,0,17.5
"101","4H-48926","INDRI",2.99722222222222,20,6.67284522706209,"IN008",2010-02-10,"F","DOMINANT","IN008_2010-02-10",2009,0,2,11,2,0,0,0.111111111111111,1.88888888888889,0,17.5
"102","4H-48721","JACKAL",3.1,22,7.09677419354839,"JA008",2009-11-14,"F","DOMINANT","JA008_2009-11-14",2009,5,1,10,2,1.90909090909091,3.09090909090909,-1.27272727272727,2.27272727272727,0,0
"103","4H-48721","JACKAL",3.1,31,10,"JA008",2009-11-15,"F","DOMINANT","JA008_2009-11-15",2009,5,1,11,2,1.90909090909091,3.09090909090909,-1.27272727272727,2.27272727272727,0,0
"104","4H-48721","JACKAL",3.1,31,10,"JA008",2009-11-16,"F","DOMINANT","JA008_2009-11-16",2009,5,1,12,2,1.90909090909091,3.09090909090909,-1.27272727272727,2.27272727272727,0,0
"105","4H-48721","JACKAL",3.2,14,4.375,"JA011",2011-02-07,"F","DOMINANT","JA011_2011-02-07",2010,2,3,12,1,-1.09090909090909,3.09090909090909,0.727272727272727,2.27272727272727,1,0
"106","4H-48721","JACKAL",3.58333333333333,35,9.76744186046512,"JA012",2011-03-22,"F","DOMINANT","JA012_2011-03-22",2010,2,3,11,1,-1.09090909090909,3.09090909090909,0.727272727272727,2.27272727272727,3,27.5
"107","4H-48721","JACKAL",3.21666666666667,9,2.7979274611399,"JA012",2011-03-23,"F","DOMINANT","JA012_2011-03-23",2010,2,3,12,1,-1.09090909090909,3.09090909090909,0.727272727272727,2.27272727272727,3,27.5
"108","4H-48730","JERBOA",2.96666666666667,23,7.75280898876404,"JE010",2014-11-14,"F","DOMINANT","JE010_2014-11-14",2014,0,4,11,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,12
"109","4H-48730","JERBOA",2.83333333333333,16,5.64705882352941,"JE010",2014-11-15,"F","DOMINANT","JE010_2014-11-15",2014,0,4,12,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,12
"110","4H-48730","JERBOA",2.96666666666667,11,3.70786516853933,"JE011",2015-01-24,"F","DOMINANT","JE011_2015-01-24",2014,0,4,10,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,0
"111","4H-48730","JERBOA",3.33333333333333,13,3.9,"JE011",2015-01-25,"F","DOMINANT","JE011_2015-01-25",2014,0,4,11,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,0
"112","4H-48730","JERBOA",3.34944444444444,25,7.46392436556643,"JE014",2016-03-15,"F","DOMINANT","JE014_2016-03-15",2015,1,4,10,1,0.636363636363636,0.363636363636364,1.54545454545455,2.45454545454545,5,0.5
"113","4H-48730","JERBOA",3.5925,31,8.62908837856646,"JE014",2016-03-17,"F","DOMINANT","JE014_2016-03-17",2015,1,4,12,1,0.636363636363636,0.363636363636364,1.54545454545455,2.45454545454545,5,0.5
"114","4H-48976","KUDU",3.1,33,10.6451612903226,"KU003",2010-01-29,"F","DOMINANT","KU003_2010-01-29",2009,0,0,10,2,-0.75,0.75,-0.875,0.875,0,19
"115","4H-48976","KUDU",3.1,34,10.9677419354839,"KU003",2010-01-30,"F","DOMINANT","KU003_2010-01-30",2009,0,0,11,2,-0.75,0.75,-0.875,0.875,0,19
"116","4H-48976","KUDU",3.21666666666667,14,4.35233160621762,"KU007",2012-01-02,"F","DOMINANT","KU007_2012-01-02",2011,2,1,11,2,1.25,0.75,0.125,0.875,0,11
"117","4H-48976","KUDU",3.11666666666667,12,3.85026737967914,"KU007",2012-01-03,"F","DOMINANT","KU007_2012-01-03",2011,2,1,12,2,1.25,0.75,0.125,0.875,0,11
"118","4H-55168","KUDU",3.06666666666667,24,7.82608695652174,"KU011",2014-03-03,"F","DOMINANT","KU011_2014-03-03",2013,0,1,10,2,-0.4,0.4,-0.6,1.6,0,2.5
"119","4H-39143","LEMUR",1.55,10,6.45161290322581,"LE006",2008-11-25,"F","DOMINANT","LE006_2008-11-25",2008,1,0,10,1,0,1,0,0,0,0
"120","4H-39143","LEMUR",3.11666666666667,25,8.02139037433155,"LE006",2008-11-26,"F","DOMINANT","LE006_2008-11-26",2008,1,0,11,1,0,1,0,0,0,0
"121","4H-39143","LEMUR",3.11666666666667,21,6.7379679144385,"LE006",2008-11-27,"F","DOMINANT","LE006_2008-11-27",2008,1,0,12,1,0,1,0,0,0,0
"122","4H-68621","LEMUR",3.34138888888889,29,8.67902568792086,"LE019",2016-03-08,"F","DOMINANT","LE019_2016-03-08",2015,1,1,11,2,0,1,0,1,5,0.5
"123","4H-68621","LEMUR",3.1,28,9.03225806451613,"LE019",2016-03-09,"F","DOMINANT","LE019_2016-03-09",2015,1,1,12,2,0,1,0,1,5,0.5
"124","4H-48710","MOLE",1.55,14,9.03225806451613,"MO002",2008-01-06,"F","DOMINANT","MO002_2008-01-06",2007,0,0,11,2,0,0,0,0,0,18.5
"125","4H-48710","MOLE",3.11666666666667,25,8.02139037433155,"MO002",2008-01-07,"F","DOMINANT","MO002_2008-01-07",2007,0,0,12,2,0,0,0,0,0,18.5
"126","4H-54984","MOLE",3.13333333333333,20,6.38297872340426,"MO017",2014-12-22,"F","DOMINANT","MO017_2014-12-22",2014,2,2,10,1,0,2,0,2,0,4
"127","4H-54984","MOLE",3.1,13,4.19354838709677,"MO017",2014-12-23,"F","DOMINANT","MO017_2014-12-23",2014,2,2,11,1,0,2,0,2,0,4
"128","4H-54984","MOLE",3,22,7.33333333333333,"MO017",2014-12-24,"F","DOMINANT","MO017_2014-12-24",2014,2,2,12,1,0,2,0,2,0,4
"129","4H-48935","NYALA",2.98944444444444,14,4.68314439695224,"NY006",2009-01-25,"F","DOMINANT","NY006_2009-01-25",2008,0,1,10,2,0,0,0.4,0.6,3,10
"130","4H-48935","NYALA",2.96277777777778,12,4.0502531408213,"NY006",2009-01-26,"F","DOMINANT","NY006_2009-01-26",2008,0,1,11,2,0,0,0.4,0.6,3,10
"131","4H-48935","NYALA",3.12361111111111,55,17.6078257003112,"NY006",2009-01-27,"F","DOMINANT","NY006_2009-01-27",2008,0,1,12,2,0,0,0.4,0.6,3,10
